Большое Седельниково (Сысертский городской округ);1 Мая;2
Большое Седельниково (Сысертский городской округ);1 Мая;3
Большое Седельниково (Сысертский городской округ);1 Мая;5
Большое Седельниково (Сысертский городской округ);1 Мая;7
Большое Седельниково (Сысертский городской округ);1 Мая;9
Большое Седельниково (Сысертский городской округ);1 Мая;12
Большое Седельниково (Сысертский городской округ);1 Мая;15
Большое Седельниково (Сысертский городской округ);1 Мая;17Б
Большое Седельниково (Сысертский городской округ);1 Мая;22
Курганово (Полевской городской округ);1 Мая;5
Курганово (Полевской городской округ);1 Мая;6
Курганово (Полевской городской округ);1 Мая;15
Курганово (Полевской городской округ);1 Мая;17б
Бородулино (Сысертский городской округ);1 Мая;1
Бородулино (Сысертский городской округ);1 Мая;1Б
Бородулино (Сысертский городской округ);1 Мая;11
Бородулино (Сысертский городской округ);1 Мая;12
Бородулино (Сысертский городской округ);1 Мая;26а
Бородулино (Сысертский городской округ);1 Мая;30
Большой Исток (Сысертский городской округ);1 Мая;1а
Большой Исток (Сысертский городской округ);1 Мая;6
Большой Исток (Сысертский городской округ);1 Мая;8
Большой Исток (Сысертский городской округ);1 Мая;9
Большой Исток (Сысертский городской округ);1 Мая;11
Большой Исток (Сысертский городской округ);1 Мая;18
Большой Исток (Сысертский городской округ);1 Мая;20
Большой Исток (Сысертский городской округ);1 Мая;27
Большой Исток (Сысертский городской округ);1 Мая;29
Большой Исток (Сысертский городской округ);1 Мая;36
Большой Исток (Сысертский городской округ);1 Мая;38
Большой Исток (Сысертский городской округ);1 Мая;39
Большой Исток (Сысертский городской округ);1 Мая;48
Арамиль;1 Мая;2 киоск
Арамиль;1 Мая;2а
Арамиль;1 Мая;3
Арамиль;1 Мая;4
Арамиль;1 Мая;5
Арамиль;1 Мая;6
Арамиль;1 Мая;6а
Арамиль;1 Мая;7
Арамиль;1 Мая;8
Арамиль;1 Мая;8 киоск
Арамиль;1 Мая;8а
Арамиль;1 Мая;8Б
Арамиль;1 Мая;8/1
Арамиль;1 Мая;10
Арамиль;1 Мая;11
Арамиль;1 Мая;11/1
Арамиль;1 Мая;11/2
Арамиль;1 Мая;12
Арамиль;1 Мая;12а
Арамиль;1 Мая;13
Арамиль;1 Мая;14
Арамиль;1 Мая;15
Арамиль;1 Мая;15 киоск
Арамиль;1 Мая;15а
Арамиль;1 Мая;17
Арамиль;1 Мая;21
Арамиль;1 Мая;27
Арамиль;1 Мая;27 киоск
Арамиль;1 Мая;27а
Арамиль;1 Мая;30
Арамиль;1 Мая;32
Арамиль;1 Мая;33
Арамиль;1 Мая;33 стр
Арамиль;1 Мая;35
Арамиль;1 Мая;36
Арамиль;1 Мая;37
Арамиль;1 Мая;45
Арамиль;1 Мая;53
Арамиль;1 Мая;54
Арамиль;1 Мая;56а
Арамиль;1 Мая;58
Арамиль;1 Мая;58а
Арамиль;1 Мая;59а
Арамиль;1 Мая;60
Арамиль;1 Мая;60/1
Арамиль;1 Мая;61
Арамиль;1 Мая;65
Арамиль;1 Мая;69
Арамиль;1 Мая;69а
Арамиль;1 Мая;71
Арамиль;1 Мая;71а
Арамиль;1 Мая;75
Арамиль;1 Мая;75а
Арамиль;1 Мая;77а
Арамиль;1 Мая;79
Арамиль;1 Мая;79 киоск
Арамиль;1 Мая;79а
Арамиль;1 Мая;81
Арамиль;1 Мая;81а
Арамиль;1 Мая;83
Екатеринбург;1 Пятилетки площадь;лит К
Екатеринбург;1 Пятилетки площадь;лит4и
Екатеринбург;1 Пятилетки площадь;лит54
Екатеринбург;1 Пятилетки площадь;лит55
Екатеринбург;1 Пятилетки площадь;лит56
Екатеринбург;1 Пятилетки площадь;лит61
Екатеринбург;1 Пятилетки площадь;лит63
Екатеринбург;1 Пятилетки площадь;лит93
Екатеринбург;1 Пятилетки площадь;лит95
Екатеринбург;1 Пятилетки площадь;1
Екатеринбург;1 Пятилетки площадь;1а
Екатеринбург;1 Пятилетки площадь;1б
Екатеринбург;1 Пятилетки площадь;1в
Екатеринбург;1 Пятилетки площадь;1п
Екатеринбург;1 Пятилетки площадь;1с
Екатеринбург;1 Пятилетки площадь;2
Екатеринбург;1 Пятилетки площадь;2с
Екатеринбург;1 Пятилетки площадь;14/3
Екатеринбург;1 Пятилетки площадь;14/3 киоск
Екатеринбург;1 Пятилетки площадь;14/10
Екатеринбург;1 Пятилетки площадь;14/10 киоск
Екатеринбург;1 Пятилетки площадь;24
Берёзовский;124-й квартал;1
Берёзовский;124-й квартал;2
Берёзовский;124-й квартал;3
Берёзовский;124-й квартал;4
Берёзовский;124-й квартал;4а
Берёзовский;124-й квартал;5
Берёзовский;124-й квартал;6/2
Берёзовский;124-й квартал;7
Берёзовский;124-й квартал;8
Берёзовский;124-й квартал;10
Берёзовский;124-й квартал;10б
Берёзовский;124-й квартал;16
Екатеринбург;1801 км Казармы (Палкино);2
Екатеринбург;1801 км Казармы (Палкино);4
Екатеринбург;1801 км Казармы (Палкино);6
Екатеринбург;1801 км Казармы (Палкино);7
Екатеринбург;22 Партсъезда;2
Екатеринбург;22 Партсъезда;2 киоск
Екатеринбург;22 Партсъезда;3
Екатеринбург;22 Партсъезда;4
Екатеринбург;22 Партсъезда;5
Екатеринбург;22 Партсъезда;5а
Екатеринбург;22 Партсъезда;5б
Екатеринбург;22 Партсъезда;6
Екатеринбург;22 Партсъезда;7
Екатеринбург;22 Партсъезда;7а
Екатеринбург;22 Партсъезда;8
Екатеринбург;22 Партсъезда;8а
Екатеринбург;22 Партсъезда;9
Екатеринбург;22 Партсъезда;10
Екатеринбург;22 Партсъезда;10а
Екатеринбург;22 Партсъезда;11
Екатеринбург;22 Партсъезда;11а
Екатеринбург;22 Партсъезда;12
Екатеринбург;22 Партсъезда;13
Екатеринбург;22 Партсъезда;14
Екатеринбург;22 Партсъезда;15
Екатеринбург;22 Партсъезда;15Б
Екатеринбург;22 Партсъезда;15в
Екатеринбург;22 Партсъезда;16
Екатеринбург;22 Партсъезда;16а
Екатеринбург;22 Партсъезда;17
Екатеринбург;22 Партсъезда;18
Екатеринбург;22 Партсъезда;18а
Екатеринбург;22 Партсъезда;18Б
Екатеринбург;22 Партсъезда;19
Екатеринбург;22 Партсъезда;19а
Екатеринбург;22 Партсъезда;19Б
Екатеринбург;22 Партсъезда;19в
Екатеринбург;22 Партсъезда;20
Екатеринбург;22 Партсъезда;20а
Екатеринбург;22 Партсъезда;20Б
Екатеринбург;22 Партсъезда;21
Екатеринбург;22 Партсъезда;21а
Екатеринбург;22 Партсъезда;22
Екатеринбург;22 Партсъезда;22а
Екатеринбург;22 Партсъезда;23
Екатеринбург;22 Партсъезда;24
Екатеринбург;22 Партсъезда;24а
Екатеринбург;22 Партсъезда;25
Екатеринбург;22 Партсъезда;31
Екатеринбург;22 Партсъезда;44
Екатеринбург;22 Партсъезда;46
Екатеринбург;22 Партсъезда;50
Екатеринбург;22 Партсъезда;50/1
Среднеуральск;2-е Отделение совхоза;1
Среднеуральск;2-е Отделение совхоза;5
Среднеуральск;2-е Отделение совхоза;9
Среднеуральск;2-е Отделение совхоза;15
Екатеринбург;2-й участок;4
Екатеринбург;2-й участок;6
Екатеринбург;2-й участок;19
Екатеринбург;3 Интернационала;1а
Екатеринбург;3 Интернационала;1а/1
Екатеринбург;3 Интернационала;1а/2
Екатеринбург;3 Интернационала;1а/3
Екатеринбург;3 Интернационала;1а/4
Екатеринбург;3 Интернационала;1а/5
Екатеринбург;3 Интернационала;1а/6
Екатеринбург;3 Интернационала;1а/14
Екатеринбург;3 Интернационала;1а/16
Екатеринбург;3 Интернационала;1а/25
Екатеринбург;3 Интернационала;1Б
Екатеринбург;3 Интернационала;15
Екатеринбург;3 Интернационала;15а
Екатеринбург;3 Пятилетки;30
Екатеринбург;4 км ж/д перегона (Шабровский);1
Екатеринбург;4 км ж/д перегона (Шабровский);2
Екатеринбург;40 лет Комсомола;1
Екатеринбург;40 лет Комсомола;1а
Екатеринбург;40 лет Комсомола;1а/н
Екатеринбург;40 лет Комсомола;1а/1
Екатеринбург;40 лет Комсомола;1б
Екатеринбург;40 лет Комсомола;1в
Екатеринбург;40 лет Комсомола;1д
Екатеринбург;40 лет Комсомола;1д/3
Екатеринбург;40 лет Комсомола;1ж
Екатеринбург;40 лет Комсомола;1ж/1
Екатеринбург;40 лет Комсомола;1ж/2
Екатеринбург;40 лет Комсомола;2
Екатеринбург;40 лет Комсомола;2а
Екатеринбург;40 лет Комсомола;2Б
